OID_,OBJECTID,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,GlobalID,SHAPE_Leng,SHAPE_Area
,21,04020101,040201,0402,04,05BA,UPPER BOW RIVER,SOUTH SASKATCHEWAN,{77005004-0B4F-4785-B2EA-644E5D7B2DA1},228601.941195999999763,1463118071.720000028610229
,22,04020201,040202,0402,04,05BB,BREWSTER CREEK,SOUTH SASKATCHEWAN,{BEBA1B32-FCD6-46CC-B5AA-4E2B7A90ED4E},175446.933427000010852,755611618.824000000953674
,23,04020301,040203,0402,04,05BC,SPRAY LAKES RIVER,SOUTH SASKATCHEWAN,{1B19226C-BFED-4791-B990-627F638C97D0},166238.731223000009777,781914542.069000005722046
,24,04020501,040205,0402,04,05BD,CASCADE RIVER,SOUTH SASKATCHEWAN,{2426D693-B491-4345-BBA2-73429A13E205},181802.905901999998605,722734396.623000025749207
,25,04020401,040204,0402,04,05BE,BOW RIVER AND GHOST RESERVOIR,SOUTH SASKATCHEWAN,{BCC5B21D-024E-4DDE-88A6-3C48F6FD772B},286629.025520999974106,1203390876.259999990463257
,26,04020601,040206,0402,04,05BF,KANANASKIS RIVER,SOUTH SASKATCHEWAN,{ED203E94-46E0-4239-8167-53751914C5C7},190496.345209999999497,926104627.812999963760376
,27,04020701,040207,0402,04,05BG,GHOST RIVER,SOUTH SASKATCHEWAN,{1C8DC83B-FF7A-43BB-9008-BCF07F1C0318},212184.168969999998808,944438320.092000007629395
,28,04021001,040210,0402,04,05BJ,ELBOW RIVER,SOUTH SASKATCHEWAN,{662CDDD6-50E3-40CC-ACFD-70DDD8BFE2AE},287436.210344000020996,1231105140.440000057220459
,29,04021101,040211,0402,04,05BK,FISH CREEK,SOUTH SASKATCHEWAN,{3CF3B78B-B3BF-4722-97E1-E804F487BB7D},143366.119765999988886,451560914.394999980926514
,30,04021202,040212,0402,04,05BL,SHEEP RIVER,SOUTH SASKATCHEWAN,{037D633C-A9E6-456C-9274-A69ED382BD59},268980.587889000016730,1595089814.569999933242798
,31,04021201,040212,0402,04,05BL,HIGHWOOD RIVER,SOUTH SASKATCHEWAN,{55F6F89D-E013-48E2-ADD0-96D344386218},375773.352034999988973,2386103901.409999847412109
,32,04020903,040209,0402,04,05BM,CROWFOOT CREEK,SOUTH SASKATCHEWAN,{878835E3-8C47-4C20-A1E3-E19A8AA83565},232564.282351000001654,1464916864.119999885559082
,33,04020902,040209,0402,04,05BM,WEST ARROWWOOD CREEK,SOUTH SASKATCHEWAN,{0FAC9A77-2C97-4A10-B061-D823603B30FF},210401.506407999986550,1103268621.730000019073486
,41,04020802,040208,0402,04,05BH,JUMPINGPOUND CREEK,SOUTH SASKATCHEWAN,{36B1E584-855F-4207-88F1-11D2B0B543EB},158220.071227999986149,598089053.524999976158142
,42,04020803,040208,0402,04,05BH,NOSE CREEK,SOUTH SASKATCHEWAN,{EF124D39-BD9F-43F6-A0F2-0B2E9156DCB1},171971.704632000008132,977864406.906000018119812
,43,04020801,040208,0402,04,05BH,BOW RIVER AND BIGHILL CREEK,SOUTH SASKATCHEWAN,{1D6E7086-A074-4AB5-BDE1-1B4D3618B57B},169062.279046999989077,468727696.459999978542328
,50,09010102,090101,0901,09,05FA,WOLF CREEK,BATTLE,{6F533912-00D3-4C9B-AAE8-007D26D3566C},144102.027422999992268,555575657.690000057220459
,51,09010103,090101,0901,09,05FA,PIPESTONE CREEK,BATTLE,{7F47D2D5-464B-4D2C-93A1-5089DD0E09ED},226169.676525999995647,1634992073.480000019073486
,52,09010104,090101,0901,09,05FA,CAMROSE CREEK,BATTLE,{98F0A8BB-8AD4-4731-A92D-56E6FAD1B9E5},134894.767002000007778,552135041.350999951362610
,53,09010105,090101,0901,09,05FA,DRIEDMEAT CREEK,BATTLE,{4269A4BD-1B87-461F-805F-7766DCC7DF76},245896.330793000000995,1222412983.430000066757202
,54,09020102,090201,0902,09,05FC,MEETING CREEK,BATTLE,{2479BD4C-FACD-4D65-BDFD-A5CE8E5591C2},345291.016823999991175,1487622720.289999961853027
,55,09020202,090202,0902,09,05FB,IRON CREEK,BATTLE,{AB52C686-72CA-4A0C-9085-66E998EE573A},371771.216903999971692,3588231108.570000171661377
,59,09020201,090202,0902,09,05FB,BATTLE RIVER AND GRATTAN CREEK,BATTLE,{1C0F7E9C-82E9-4BF2-AFA8-6F24EBB6FE86},403268.637202000012621,1639636056.380000114440918
,61,09020101,090201,0902,09,05FC,MIDDLE BATTLE RIVER,BATTLE,{8DD440F7-5A21-4827-BD3F-CC53650BD3B2},513295.083984000026248,3131239716.190000057220459
,148,08010104,080101,0801,08,05CA,JAMES RIVER,RED DEER,{22A5D88C-52AB-4073-9D3B-5A12634841EE},210433.241616000013892,872392682.468999981880188
,149,08010102,080101,0801,08,05CA,PANTHER RIVER,RED DEER,{3E5C93F1-A8A6-4385-A1BE-B156467B076A},149465.164236999989953,653775833.434000015258789
,150,08010103,080101,0801,08,05CA,FALLENTIMBER CREEK,RED DEER,{DDFEC0D1-142E-4393-88AD-A9F3265C0AEF},179087.686570999998366,527986571.805999994277954
,151,08010101,080101,0801,08,05CA,UPPER RED DEER RIVER,RED DEER,{41B24B17-7E9E-4D73-8EA2-F22D9311DCB5},465045.717388999997638,2413788748.909999847412109
,152,08010203,080102,0801,08,05CB,LITTLE RED DEER RIVER,RED DEER,{4928B25E-AC10-4E18-9CB5-3A01967050AC},383909.409324000007473,2581405676.789999961853027
,153,08010201,080102,0801,08,05CB,RED DEER RIVER AND GLENIFFER LAKE,RED DEER,{3F815898-A2B6-4641-B293-B3775B66F162},194982.169462999998359,370814966.197000026702881
,154,08010202,080102,0801,08,05CB,RAVEN RIVER,RED DEER,{8CE8B857-E73F-494A-B589-CF25D2AE42B9},193847.596541000006255,774426440.253999948501587
,155,08010301,080103,0801,08,05CC,RED DEER RIVER AND SYLVAN LAKE,RED DEER,{9AE699A5-E58A-4506-A153-DC4A46AB2379},238653.303214999992633,1230838377.059999942779541
,156,08010302,080103,0801,08,05CC,MEDICINE RIVER,RED DEER,{A01A0229-5FEA-49A1-AB2E-2A317F492830},347725.507004000013694,2768996075.969999790191650
,157,08020101,080201,0802,08,05CD,RED DEER RIVER BELOW RED DEER,RED DEER,{A23B9E91-DA9C-49A6-BB3C-EA6490823F8E},364219.008766999992076,2399304474.900000095367432
,158,08020102,080201,0802,08,05CD,BUFFALO LAKE,RED DEER,{41A45C71-DE5A-4486-BC04-0A5DE832D4E0},301265.450153000012506,2013881876.759999990463257
,159,08020103,080201,0802,08,05CD,BIG VALLEY CREEK,RED DEER,{B6D6D805-3C30-443D-9B3F-7CC9AF081CC3},173103.118696999998065,559532664.465000033378601
,160,08020201,080202,0802,08,05CE,RED DEER RIVER ABOVE ROSEBUD RIVER,RED DEER,{FB81AD30-29AD-4CDF-9314-EB67E3E923B5},90167.482931699996698,188168169.192999988794327
,161,08020202,080202,0802,08,05CE,THREEHILLS CREEK,RED DEER,{6DA15B0C-722C-4D58-81E6-706123304BE7},254247.200307999999495,2206591411.820000171661377
,162,08020203,080202,0802,08,05CE,KNEEHILLS CREEK,RED DEER,{E809CD69-DA0B-471D-BD7A-2591E05EE25B},318782.347828000027221,2453624839.039999961853027
,163,08020204,080202,0802,08,05CE,MICHICHI CREEK,RED DEER,{519D1F63-9F2A-4613-9D6C-71D0052AABFB},195041.342639000009513,1164200708.049999952316284
,164,08040101,080401,0804,08,05CF,DOWLING AND SULLIVAN LAKES,RED DEER,{8A3030E4-5AD1-4C09-8783-715D4D41E573},329950.470230999984778,3143356248.500000000000000
,165,08030102,080301,0803,08,05CG,BULLPOUND CREEK,RED DEER,{B3D4B798-5CC9-473F-B024-AFDC7CBEAFD3},240158.819019999995362,1298060591.309999942779541
,166,08030101,080301,0803,08,05CG,RED DEER ABOVE BULLPOUND CREEK,RED DEER,{0A5BD296-729C-46A6-A3F8-4F9B95F55D76},227790.769586999987951,1619720716.799999952316284
,167,08030301,080303,0803,08,05CH,BERRY CREEK,RED DEER,{DD61162F-9619-4258-90D4-286B73FCD3D9},392957.866129999980330,2383726910.880000114440918
,168,08030303,080303,0803,08,05CH,EAST BERRY CREEK,RED DEER,{6C41949D-5974-4140-91E3-C2393F94FF6A},183912.581430999998702,919263103.235999941825867
,169,08030302,080303,0803,08,05CH,PLOVER LAKE,RED DEER,{5C3935A6-7878-4D46-802C-2A19B599D5A7},126382.894266000002972,563366373.427000045776367
,170,08030202,080302,0803,08,05CJ,MATZHIWIN CREEK,RED DEER,{8CA120D0-4581-45AF-ACCF-E9CDE310DC6D},297017.013725000026170,2374629754.000000000000000
,171,08030203,080302,0803,08,05CJ,ONETREE CREEK,RED DEER,{A1EA9C7E-CDD0-450A-9040-23874ED34E57},205728.901117000001250,902943239.363999962806702
,172,08030201,080302,0803,08,05CJ,MIDDLE RED DEER RIVER,RED DEER,{EE800FEA-4EB4-4BA1-9B74-F3E00E8916A7},427495.263903999992181,1899080337.910000085830688
,173,08030401,080304,0803,08,05CK,LOWER RED DEER RIVER,RED DEER,{F5C709A5-EFC2-4C84-93C0-DE594B655E52},544010.922346999985166,3184286865.449999809265137
,174,08030403,080304,0803,08,05CK,ALKALI CREEK,RED DEER,{4AD6AF9F-1E8E-4661-BC83-E5D195943F5F},197044.958979999995790,635414583.384999990463257
,175,08030402,080304,0803,08,05CK,BLOOD INDIAN CREEK,RED DEER,{F743CBFC-1995-43F8-A298-75CF3F7906A1},198184.343372000003001,733950779.508000016212463
,176,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,{0A735BCC-86C5-4BD9-B6EB-29CA1C4C94C2},349747.248252000019420,2922732511.909999847412109
,177,11030202,110302,1103,11,05EC,REDWATER RIVER,NORTH SASKATCHEWAN,{4E36D3B5-9F21-43C3-BF33-3DB4BBF644FC},259381.887107999995351,1612982961.019999980926514
,178,11020203,110202,1102,11,05DF,WHITEMUD CREEK,NORTH SASKATCHEWAN,{1E66EF03-405E-4D94-BF93-194AB348D7D7},196078.310579999990296,1071549764.860000014305115
,179,11020202,110202,1102,11,05DF,STRAWBERRY CREEK,NORTH SASKATCHEWAN,{1265BADC-D54A-4D75-9D61-3E729336D994},138417.292308000003686,601116832.258999943733215
