"","OBJECTID","HUC_8","shops_num"
"1",21,"04020101",0
"2",22,"04020201",0
"3",23,"04020301",0
"4",24,"04020501",0
"5",25,"04020401",0
"6",26,"04020601",0
"7",27,"04020701",0
"8",28,"04021001",0
"9",29,"04021101",0
"10",30,"04021202",0
"11",31,"04021201",0
"12",32,"04020903",0
"13",33,"04020902",0
"14",41,"04020802",0
"15",42,"04020803",0
"16",43,"04020801",0
"17",50,"09010102",0
"18",51,"09010103",0
"19",52,"09010104",0
"20",53,"09010105",0
"21",54,"09020102",0
"22",55,"09020202",0
"23",59,"09020201",0
"24",61,"09020101",0
"25",148,"08010104",0
"26",149,"08010102",0
"27",150,"08010103",0
"28",151,"08010101",0
"29",152,"08010203",0
"30",153,"08010201",0
"31",154,"08010202",0
"32",155,"08010301",0
"33",156,"08010302",0
"34",157,"08020101",0
"35",158,"08020102",0
"36",159,"08020103",0
"37",160,"08020201",0
"38",161,"08020202",0
"39",162,"08020203",0
"40",163,"08020204",0
"41",164,"08040101",0
"42",165,"08030102",0
"43",166,"08030101",0
"44",167,"08030301",0
"45",168,"08030303",0
"46",169,"08030302",0
"47",170,"08030202",0
"48",171,"08030203",0
"49",172,"08030201",0
"50",173,"08030401",0
"51",174,"08030403",0
"52",175,"08030402",0
"53",176,"11030102",0
"54",177,"11030202",0
"55",178,"11020203",0
"56",179,"11020202",0
"57",190,"11020102",0
"58",191,"11020103",0
"59",192,"11020201",2
"60",193,"11020302",0
"61",194,"11030203",0
"62",195,"11030204",0
"63",196,"11030205",0
"64",203,"11020301",0
"65",204,"11020104",0
"66",208,"11020101",0
"67",211,"11030201",0
"68",212,"11030101",5
"69",378,"08030404",0
"70",392,"04021102",0
"71",393,"04021302",0
"72",394,"04021301",0
"73",395,"04020901",0
"74",398,"08020206",0
"75",399,"08020205",0
"76",403,"08010303",0
"77",404,"09010101",0
