"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"7",50,403,10880,1109494.62789,1634992073.48,15441,2169803.70952,3282264497.41,13348.24779
"24",172,173,10117,3003563.93521,3184286865.45,1505,658235.945779,635414583.385,17159.74694
"32",41,42,11123,820589.353485,977864406.906,8402,438182.504918,468727696.46,18228.5189
"40",167,174,1567,507664.349505,919263103.236,2170,673784.609775,733950779.508,18963.07163
"43",24,26,11400,1641291.23625,1203390876.26,3908,1385356.19187,944438320.092,19133.01371
"52",164,166,4422,1353925.34857,1298060591.31,7947,1973887.79158,2383726910.88,20275.82738
"65",152,153,4405,401341.364698,370814966.197,5038,635197.844155,774426440.254,21159.24411
"68",27,28,13653,2093613.60365,1231105140.44,6049,644498.607186,451560914.395,21300.41071
"80",159,162,5153,282045.166749,188168169.193,4472,1087840.26405,1164200708.05,22582.16901
"84",148,150,421,678967.659273,653775833.434,17952,3733456.30238,2413788748.91,22659.93854
"89",21,23,1267,568204.43722,755611618.824,489,553095.217362,722734396.623,22985.84773
"91",28,29,6049,644498.607186,451560914.395,17370,2752283.46207,1595089814.57,23022.82708
"92",32,394,4122,815584.334193,1103268621.73,19514,2269045.99455,2958449434.35,23484.30046
"97",166,168,7947,1973887.79158,2383726910.88,723,292231.105356,563366373.427,23913.06447
"111",22,25,673,819693.164624,781914542.069,3170,1425934.38347,926104627.813,24887.38648
"116",23,148,489,553095.217362,722734396.623,421,678967.659273,653775833.434,25249.09014
"132",164,165,4422,1353925.34857,1298060591.31,4422,1834982.23088,1619720716.8,26002.80688
"134",29,30,17370,2752283.46207,1595089814.57,13119,4095857.55159,2386103901.41,26088.61776
"138",177,191,13356,809238.423438,1071549764.86,12392,851620.791604,1335617285.69,26293.08767
"153",27,29,13653,2093613.60365,1231105140.44,17370,2752283.46207,1595089814.57,27507.88746
"156",191,192,12392,851620.791604,1335617285.69,6804,254705.268791,468640572.712,27660.01961
"157",160,161,16718,2641165.17254,2206591411.82,14629,2385326.96972,2453624839.04,27894.65457
"164",53,157,4682,912665.799095,1487622720.29,6444,762387.267075,2013881876.76,28029.7149
"190",176,193,7281,994620.80025,1612982961.02,1139,246566.008858,747489017.086,29111.69878
"191",149,151,3286,832440.708965,527986571.806,22241,3147846.5546,2581405676.79,29123.28138
"192",59,61,2618,312023.509273,498690546.22,8912,1517995.98185,1978683680.72,29218.94899
"195",156,158,11821,2108768.4648,2399304474.9,1567,214287.566148,559532664.465,29287.21253
"201",178,190,6188,781232.492791,601116832.259,11327,1453769.54938,1253986034.33,29666.09558
"203",167,171,1567,507664.349505,919263103.236,8888,1865098.79141,1899080337.91,29755.36881
"206",161,398,14629,2385326.96972,2453624839.04,18273,2865499.78312,2853081750.53,29943.18157
"213",156,160,11821,2108768.4648,2399304474.9,16718,2641165.17254,2206591411.82,30459.34841
"229",28,42,6049,644498.607186,451560914.395,8402,438182.504918,468727696.46,31155.13068
"240",178,191,6188,781232.492791,601116832.259,12392,851620.791604,1335617285.69,31571.38141
"241",23,26,489,553095.217362,722734396.623,3908,1385356.19187,944438320.092,31615.21951
"258",149,150,3286,832440.708965,527986571.806,17952,3733456.30238,2413788748.91,32287.3407
"271",21,22,1267,568204.43722,755611618.824,673,819693.164624,781914542.069,32856.86337
"305",25,27,3170,1425934.38347,926104627.813,13653,2093613.60365,1231105140.44,33902.87589
"315",26,149,3908,1385356.19187,944438320.092,3286,832440.708965,527986571.806,34524.37084
"337",170,393,9507,921322.489428,902943239.364,12219,2180114.27068,2583118256.45,35464.27711
"346",50,177,10880,1109494.62789,1634992073.48,13356,809238.423438,1071549764.86,35854.76545
"360",151,152,22241,3147846.5546,2581405676.79,4405,401341.364698,370814966.197,36311.10602
"370",24,27,11400,1641291.23625,1203390876.26,13653,2093613.60365,1231105140.44,36724.48738
"379",192,203,6804,254705.268791,468640572.712,4917,448622.339202,503930913.697,37040.38983
"393",31,394,7791,1386961.45355,1464916864.12,19514,2269045.99455,2958449434.35,37454.99141
"412",175,211,17187,2353037.01825,2922732511.91,22810,1003947.61376,1482326892.8,37999.07526
"413",196,208,3489,711644.720915,931211320.671,9352,1548478.95706,1780963677.62,38032.60582
"420",51,52,4748,467952.886776,552135041.351,3322,644082.819848,1222412983.43,38177.57776
"445",169,170,11576,1654242.92381,2374629754,9507,921322.489428,902943239.364,39107.80634
"458",178,203,6188,781232.492791,601116832.259,4917,448622.339202,503930913.697,39525.06804
"469",173,174,1505,658235.945779,635414583.385,2170,673784.609775,733950779.508,39863.6029
"475",27,42,13653,2093613.60365,1231105140.44,8402,438182.504918,468727696.46,40076.80951
"483",158,163,1567,214287.566148,559532664.465,5807,2029951.87686,3143356248.5,40204.965
"484",164,168,4422,1353925.34857,1298060591.31,723,292231.105356,563366373.427,40220.77808
"487",159,165,5153,282045.166749,188168169.193,4422,1834982.23088,1619720716.8,40279.58427
"492",51,175,4748,467952.886776,552135041.351,17187,2353037.01825,2922732511.91,40472.22828
"494",51,177,4748,467952.886776,552135041.351,13356,809238.423438,1071549764.86,40601.14478
"495",168,174,723,292231.105356,563366373.427,2170,673784.609775,733950779.508,40610.07252
"497",156,157,11821,2108768.4648,2399304474.9,6444,762387.267075,2013881876.76,40660.84339
"499",153,155,5038,635197.844155,774426440.254,17884,2205895.39613,2768996075.97,40673.52203
"509",170,171,9507,921322.489428,902943239.364,8888,1865098.79141,1899080337.91,41058.46215
"511",165,166,4422,1834982.23088,1619720716.8,7947,1973887.79158,2383726910.88,41076.73985
"514",166,167,7947,1973887.79158,2383726910.88,1567,507664.349505,919263103.236,41268.58424
"519",23,150,489,553095.217362,722734396.623,17952,3733456.30238,2413788748.91,41528.81514
"528",24,25,11400,1641291.23625,1203390876.26,3170,1425934.38347,926104627.813,41799.60947
"529",177,211,13356,809238.423438,1071549764.86,22810,1003947.61376,1482326892.8,41808.63317
"530",22,24,673,819693.164624,781914542.069,11400,1641291.23625,1203390876.26,41833.09975
"531",175,194,17187,2353037.01825,2922732511.91,2623,483442.524083,707446827.694,41860.16519
"534",158,162,1567,214287.566148,559532664.465,4472,1087840.26405,1164200708.05,41992.69665
"544",170,392,9507,921322.489428,902943239.364,9776,1243583.09089,2738416862.82,42299.02189
"550",162,163,4472,1087840.26405,1164200708.05,5807,2029951.87686,3143356248.5,42487.56162
"551",166,174,7947,1973887.79158,2383726910.88,2170,673784.609775,733950779.508,42504.595
"553",31,169,7791,1386961.45355,1464916864.12,11576,1654242.92381,2374629754,42544.33114
"555",50,191,10880,1109494.62789,1634992073.48,12392,851620.791604,1335617285.69,42568.44541
"557",178,192,6188,781232.492791,601116832.259,6804,254705.268791,468640572.712,42608.15341
"559",172,174,10117,3003563.93521,3184286865.45,2170,673784.609775,733950779.508,42626.26849
"561",193,195,1139,246566.008858,747489017.086,2964,964286.576005,1065870641.82,42706.01779
"571",158,160,1567,214287.566148,559532664.465,16718,2641165.17254,2206591411.82,42914.7294
"587",43,173,920,329116.870826,556605641.277,1505,658235.945779,635414583.385,43381.14836
"599",26,150,3908,1385356.19187,944438320.092,17952,3733456.30238,2413788748.91,43624.49804
"600",171,174,8888,1865098.79141,1899080337.91,2170,673784.609775,733950779.508,43630.27745
"602",26,148,3908,1385356.19187,944438320.092,421,678967.659273,653775833.434,43737.11339
"621",28,41,6049,644498.607186,451560914.395,11123,820589.353485,977864406.906,44432.684
"623",392,393,9776,1243583.09089,2738416862.82,12219,2180114.27068,2583118256.45,44488.92808
"636",55,61,1864,258598.894036,986638704.338,8912,1517995.98185,1978683680.72,44837.1888
"639",152,154,4405,401341.364698,370814966.197,12648,996600.27872,1230838377.06,44889.28426
"648",171,392,8888,1865098.79141,1899080337.91,9776,1243583.09089,2738416862.82,45090.41303
"653",24,42,11400,1641291.23625,1203390876.26,8402,438182.504918,468727696.46,45265.52561
"658",23,24,489,553095.217362,722734396.623,11400,1641291.23625,1203390876.26,45348.55094
"664",177,192,13356,809238.423438,1071549764.86,6804,254705.268791,468640572.712,45492.33844
"670",41,398,11123,820589.353485,977864406.906,18273,2865499.78312,2853081750.53,45649.21362
"683",21,26,1267,568204.43722,755611618.824,3908,1385356.19187,944438320.092,45997.37932
"688",21,148,1267,568204.43722,755611618.824,421,678967.659273,653775833.434,46155.24859
"690",162,165,4472,1087840.26405,1164200708.05,4422,1834982.23088,1619720716.8,46179.62231
"707",165,169,4422,1834982.23088,1619720716.8,11576,1654242.92381,2374629754,46631.37275
"718",59,208,2618,312023.509273,498690546.22,9352,1548478.95706,1780963677.62,46913.78845
"725",22,23,673,819693.164624,781914542.069,489,553095.217362,722734396.623,47042.62443
"726",52,54,3322,644082.819848,1222412983.43,7496,1743542.55719,3588231108.57,47082.64222
"731",41,151,11123,820589.353485,977864406.906,22241,3147846.5546,2581405676.79,47155.6936
"732",177,403,13356,809238.423438,1071549764.86,15441,2169803.70952,3282264497.41,47185.89828
"740",50,51,10880,1109494.62789,1634992073.48,4748,467952.886776,552135041.351,47411.20151
"752",24,149,11400,1641291.23625,1203390876.26,3286,832440.708965,527986571.806,47805.97589
"763",176,211,7281,994620.80025,1612982961.02,22810,1003947.61376,1482326892.8,47996.93299
"772",154,155,12648,996600.27872,1230838377.06,17884,2205895.39613,2768996075.97,48285.8058
"775",51,403,4748,467952.886776,552135041.351,15441,2169803.70952,3282264497.41,48464.52269
"779",28,30,6049,644498.607186,451560914.395,13119,4095857.55159,2386103901.41,48604.7837
"788",22,26,673,819693.164624,781914542.069,3908,1385356.19187,944438320.092,48950.53321
"796",149,152,3286,832440.708965,527986571.806,4405,401341.364698,370814966.197,49235.53913
"799",148,149,421,678967.659273,653775833.434,3286,832440.708965,527986571.806,49308.08597
"800",52,53,3322,644082.819848,1222412983.43,4682,912665.799095,1487622720.29,49364.73716
"802",154,156,12648,996600.27872,1230838377.06,11821,2108768.4648,2399304474.9,49411.02773
"804",167,168,1567,507664.349505,919263103.236,723,292231.105356,563366373.427,49497.25395
"806",194,195,2623,483442.524083,707446827.694,2964,964286.576005,1065870641.82,49504.98377
"821",42,151,8402,438182.504918,468727696.46,22241,3147846.5546,2581405676.79,49905.81849
"827",53,158,4682,912665.799095,1487622720.29,1567,214287.566148,559532664.465,50200.11007
"838",192,211,6804,254705.268791,468640572.712,22810,1003947.61376,1482326892.8,50513.42478
"842",25,29,3170,1425934.38347,926104627.813,17370,2752283.46207,1595089814.57,50621.04002
"852",159,398,5153,282045.166749,188168169.193,18273,2865499.78312,2853081750.53,51000.09314
"854",160,398,16718,2641165.17254,2206591411.82,18273,2865499.78312,2853081750.53,51009.80467
"855",157,158,6444,762387.267075,2013881876.76,1567,214287.566148,559532664.465,51010.11232
"869",24,28,11400,1641291.23625,1203390876.26,6049,644498.607186,451560914.395,51395.71617
"872",27,30,13653,2093613.60365,1231105140.44,13119,4095857.55159,2386103901.41,51473.79348
"888",31,159,7791,1386961.45355,1464916864.12,5153,282045.166749,188168169.193,51726.39625
"896",152,155,4405,401341.364698,370814966.197,17884,2205895.39613,2768996075.97,52056.93034
"899",21,24,1267,568204.43722,755611618.824,11400,1641291.23625,1203390876.26,52111.21257
"901",157,403,6444,762387.267075,2013881876.76,15441,2169803.70952,3282264497.41,52147.78465
"907",191,203,12392,851620.791604,1335617285.69,4917,448622.339202,503930913.697,52241.01736
"912",160,162,16718,2641165.17254,2206591411.82,4472,1087840.26405,1164200708.05,52344.19926
"921",151,153,22241,3147846.5546,2581405676.79,5038,635197.844155,774426440.254,52446.19169
"924",162,164,4472,1087840.26405,1164200708.05,4422,1353925.34857,1298060591.31,52554.41552
"940",175,177,17187,2353037.01825,2922732511.91,13356,809238.423438,1071549764.86,52900.80892
"953",22,27,673,819693.164624,781914542.069,13653,2093613.60365,1231105140.44,53345.70076
"972",190,203,11327,1453769.54938,1253986034.33,4917,448622.339202,503930913.697,53727.05765
"976",32,395,4122,815584.334193,1103268621.73,4662,897169.710945,2043592767.67,53803.86961
"979",154,160,12648,996600.27872,1230838377.06,16718,2641165.17254,2206591411.82,53846.70001
"981",196,212,3489,711644.720915,931211320.671,12839,2820052.67618,3728259662.3,53860.82587
"982",61,208,8912,1517995.98185,1978683680.72,9352,1548478.95706,1780963677.62,53912.21762
"1000",29,42,17370,2752283.46207,1595089814.57,8402,438182.504918,468727696.46,54116.66845
