"","OBJECTID","Join_Count","TARGET_FID","HUC_8","HUC_6","HUC_4","HUC_2","WSC_CODE","NAME","BASIN","SHAPE_STAr","SHAPE_STLe","FID_Hydrol","Join_Cou_1","TARGET_F_1","HUC_89","HUC_67","HUC_45","HUC_23","WSC_CODE_1","NAME_1","BASIN_1","SHAPE_ST_1","SHAPE_ST_2","FID_Road","FEATURE_TY","NAME_12","HWY_NUMBER","ROAD_CLASS","GEO_SOURCE","GEO_DATE","FEATURE__1","FEATURE__2","UPDATE_DAT","SHAPE_LENG","FID_BaseSt","LENGTH","FEATURE_CO","FEATURE__3","NAME_12_13","SOURCE","CAPTURE_DA","PS_FLOW","BF_ID","SHAPE_ST_3","center_x","center_y","FID_Base_1","LENGTH_1","FEATURE__4","FEATURE__5","NAME_12_14","SOURCE_1","CAPTURE__1","PS_FLOW_1","BF_ID_1","SHAPE_ST_4","Shape_Le_1","Shape_Area","drainage_d"
"21",21,2161,20,"04020101","040201","0402","04","05BA","UPPER BOW RIVER","SOUTH SASKATCHEWAN",1463118070.43,228601.941196,21,1561,20,"04020101","040201","0402","04","05BA","UPPER BOW RIVER","SOUTH SASKATCHEWAN",1463118070.43,228601.941196,95422,8,NA,"1A","PRIMARY","SPTADD",2007-07-07,"SPTADD",2007-07-07,2013-03-11,3742.05949971,869952,0.01917497,"GA61900000","STR-PER",NA,"FEDADD",1994-01-01,"P",240509,0.01917496995,420038.445227,5699796.37027,2318,0.00317123,"GE15870100","FLOW-ARB-MANUAL",NA,NA,1994-01-01,"P",263918,0.00317123215,1042466.36694,1463118071.72,0.000712496405512
"22",22,1266,21,"04020201","040202","0402","04","05BB","BREWSTER CREEK","SOUTH SASKATCHEWAN",755611618.514,175446.933427,22,783,21,"04020201","040202","0402","04","05BB","BREWSTER CREEK","SOUTH SASKATCHEWAN",755611618.514,175446.933427,142957,13,NA,NA,"OTHER","SPTADD",2007-07-31,"SPTADD",2007-07-31,2016-02-08,590.10810504,589839,0.02074859,"GA61900000","STR-PER",NA,"FEDADD",1994-01-01,"P",270241,0.02074858604,449019.242952,5664890.95832,7673,0.00338991,"GA61900000","STR-PER",NA,"FEDADD",1994-01-01,"P",207257,0.0033899085,568204.43722,755611618.824,0.000751979486637
"23",23,672,22,"04020301","040203","0402","04","05BC","SPRAY LAKES RIVER","SOUTH SASKATCHEWAN",781914542.401,166238.731223,23,1084,22,"04020301","040203","0402","04","05BC","SPRAY LAKES RIVER","SOUTH SASKATCHEWAN",781914542.401,166238.731223,249898,13,NA,NA,"OTHER","SPTADD",2005-05-30,"SPTADD",2005-05-30,2016-01-26,2376.23665598,710309,0.00559227,"GA61750000","STR-RECUR",NA,"20KADD",1982-09-03,"P",206582,0.00559226866,469010.648723,5638815.73702,7619,0.00795286,"GA61750000","STR-RECUR",NA,"50KADD",1993-10-04,"S",206741,0.00795284791,819693.164624,781914542.069,0.001048315539
"24",24,488,23,"04020501","040205","0402","04","05BD","CASCADE RIVER","SOUTH SASKATCHEWAN",722734396.532,181802.905902,24,702,23,"04020501","040205","0402","04","05BD","CASCADE RIVER","SOUTH SASKATCHEWAN",722734396.532,181802.905902,145353,13,NA,NA,"OTHER","SPTADD",2007-07-31,"SPTADD",2007-07-31,2016-02-02,4048.50082508,573114,0.02237184,"GA61900000","STR-PER",NA,"FEDADD",1994-01-01,"P",265025,0.02237182907,460130.771136,5685012.66643,2334,0.02728537,"GA61900000","STR-PER","Cuthead Creek","FEDADD",1994-01-01,"P",263754,0.02728537354,553095.217362,722734396.623,0.000765281436648
"25",25,11399,24,"04020401","040204","0402","04","05BE","BOW RIVER AND GHOST RESERVOIR","SOUTH SASKATCHEWAN",1203390875.85,286629.025521,25,2658,24,"04020401","040204","0402","04","05BE","BOW RIVER AND GHOST RESERVOIR","SOUTH SASKATCHEWAN",1203390875.85,286629.025521,743146,13,NA,NA,"OTHER","SPTADD",2014-09-20,"SPTADD",2014-09-20,2016-01-18,1327.46578223,840882,0.01389048,"GA28362530","RIV-MAJ-REP-PRI","Bow River",NA,1992-08-11,"P",272051,0.01389047947,501125.306275,5665623.51583,7617,0.00886851,"GA61750000","STR-RECUR",NA,"20KADD",1982-09-03,"P",206713,0.00886851079,1641291.23625,1203390876.26,0.00136388871532
"26",26,3169,25,"04020601","040206","0402","04","05BF","KANANASKIS RIVER","SOUTH SASKATCHEWAN",926104626.991,190496.34521,26,2365,25,"04020601","040206","0402","04","05BF","KANANASKIS RIVER","SOUTH SASKATCHEWAN",926104626.991,190496.34521,75687,4,NA,NA,"OTHER","SPTADD",2005-05-30,"SPTADD",2005-05-30,2016-01-26,7349.76141938,734691,0.01664946,"GA61750000","STR-RECUR",NA,"20KADD",1982-09-03,"P",212922,0.01664946107,489939.418494,5625348.42096,7615,0.00373373,"GA61750000","STR-RECUR",NA,"20KADD",1982-09-03,"P",206692,0.00373373387,1425934.38347,926104627.813,0.00153971197276
"27",27,3907,26,"04020701","040207","0402","04","05BG","GHOST RIVER","SOUTH SASKATCHEWAN",944438320.32,212184.16897,27,2342,26,"04020701","040207","0402","04","05BG","GHOST RIVER","SOUTH SASKATCHEWAN",944438320.32,212184.16897,171128,11,NA,NA,"OTHER","IRSADD",1998-05-04,"IRSADD",1998-05-04,2016-01-12,362.617737237,182607,0.00769311,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-02,"P",268988,0.00769310511,491623.316187,5682230.27343,2383,0.0011778,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-02,"P",264145,0.00117779764,1385356.19187,944438320.092,0.00146685724457
"28",28,13652,27,"04021001","040210","0402","04","05BJ","ELBOW RIVER","SOUTH SASKATCHEWAN",1231105140.66,287436.210344,28,3983,27,"04021001","040210","0402","04","05BJ","ELBOW RIVER","SOUTH SASKATCHEWAN",1231105140.66,287436.210344,98112,9,NA,NA,"URBAN","20KADD",1982-09-02,"SPTADD",2013-08-24,2015-02-23,1659.66218674,869266,0.01782491,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-02,"P",274113,0.01782490758,522258.675251,5635589.05747,7652,0.00795114,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-03,"P",207066,0.00795113587,2093613.60365,1231105140.44,0.00170059691482
"29",29,6048,28,"04021101","040211","0402","04","05BK","FISH CREEK","SOUTH SASKATCHEWAN",451560914.807,143366.119766,29,889,28,"04021101","040211","0402","04","05BK","FISH CREEK","SOUTH SASKATCHEWAN",451560914.807,143366.119766,8604,4,NA,NA,"OTHER","20KADD",1982-09-03,"20KADD",1982-09-03,2015-03-06,725.847753489,256555,0.03908743,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-03,"P",207545,0.03908745047,543535.513563,5636590.87975,7644,0.00124654,"GA20700000","DITCH",NA,"20KADD",1982-09-03,"P",207049,0.00124654006,644498.607186,451560914.395,0.00142726836323
"30",30,17369,29,"04021202","040212","0402","04","05BL","SHEEP RIVER","SOUTH SASKATCHEWAN",1595089813.36,268980.587889,30,4978,29,"04021202","040212","0402","04","05BL","SHEEP RIVER","SOUTH SASKATCHEWAN",1595089813.36,268980.587889,11937,4,NA,NA,"OTHER","SPTADD",2010-09-30,"20KADD",1981-09-12,2015-02-23,1401.82698735,847414,0.02049367,"GA61700000","STR-INDEF",NA,"20KADD",1982-09-03,"P",212242,0.02049366864,539264.547029,5613967.67459,43112,0.0020414,"GA61900000","STR-PER","Threepoint Creek","20KADD",1982-09-03,"P",215427,0.00204139042,2752283.46207,1595089814.57,0.00172547240722
