"","INPUT_FID","NEAR_FID","DISTANCE"
"7",50,403,13348.24779
"24",172,173,17159.74694
"32",41,42,18228.5189
"40",167,174,18963.07163
"43",24,26,19133.01371
"52",164,166,20275.82738
"65",152,153,21159.24411
"68",27,28,21300.41071
"80",159,162,22582.16901
"84",148,150,22659.93854
"89",21,23,22985.84773
"91",28,29,23022.82708
"92",32,394,23484.30046
"97",166,168,23913.06447
"111",22,25,24887.38648
"116",23,148,25249.09014
"132",164,165,26002.80688
"134",29,30,26088.61776
"138",177,191,26293.08767
"153",27,29,27507.88746
"156",191,192,27660.01961
"157",160,161,27894.65457
"164",53,157,28029.7149
"190",176,193,29111.69878
"191",149,151,29123.28138
"192",59,61,29218.94899
"195",156,158,29287.21253
"201",178,190,29666.09558
"203",167,171,29755.36881
"206",161,398,29943.18157
"213",156,160,30459.34841
"229",28,42,31155.13068
"240",178,191,31571.38141
"241",23,26,31615.21951
"258",149,150,32287.3407
"271",21,22,32856.86337
"305",25,27,33902.87589
"315",26,149,34524.37084
"337",170,393,35464.27711
"346",50,177,35854.76545
"360",151,152,36311.10602
"370",24,27,36724.48738
"379",192,203,37040.38983
"393",31,394,37454.99141
"412",175,211,37999.07526
"413",196,208,38032.60582
"420",51,52,38177.57776
"445",169,170,39107.80634
"458",178,203,39525.06804
"469",173,174,39863.6029
"475",27,42,40076.80951
"483",158,163,40204.965
"484",164,168,40220.77808
"487",159,165,40279.58427
"492",51,175,40472.22828
"494",51,177,40601.14478
"495",168,174,40610.07252
"497",156,157,40660.84339
"499",153,155,40673.52203
"509",170,171,41058.46215
"511",165,166,41076.73985
"514",166,167,41268.58424
"519",23,150,41528.81514
"528",24,25,41799.60947
"529",177,211,41808.63317
"530",22,24,41833.09975
"531",175,194,41860.16519
"534",158,162,41992.69665
"544",170,392,42299.02189
"550",162,163,42487.56162
"551",166,174,42504.595
"553",31,169,42544.33114
"555",50,191,42568.44541
"557",178,192,42608.15341
"559",172,174,42626.26849
"561",193,195,42706.01779
"571",158,160,42914.7294
"587",43,173,43381.14836
"599",26,150,43624.49804
"600",171,174,43630.27745
"602",26,148,43737.11339
"621",28,41,44432.684
"623",392,393,44488.92808
"636",55,61,44837.1888
"639",152,154,44889.28426
"648",171,392,45090.41303
"653",24,42,45265.52561
"658",23,24,45348.55094
"664",177,192,45492.33844
"670",41,398,45649.21362
"683",21,26,45997.37932
"688",21,148,46155.24859
"690",162,165,46179.62231
"707",165,169,46631.37275
"718",59,208,46913.78845
"725",22,23,47042.62443
"726",52,54,47082.64222
"731",41,151,47155.6936
"732",177,403,47185.89828
"740",50,51,47411.20151
"752",24,149,47805.97589
"763",176,211,47996.93299
"772",154,155,48285.8058
"775",51,403,48464.52269
"779",28,30,48604.7837
"788",22,26,48950.53321
"796",149,152,49235.53913
"799",148,149,49308.08597
"800",52,53,49364.73716
"802",154,156,49411.02773
"804",167,168,49497.25395
"806",194,195,49504.98377
"821",42,151,49905.81849
"827",53,158,50200.11007
"838",192,211,50513.42478
"842",25,29,50621.04002
"852",159,398,51000.09314
"854",160,398,51009.80467
"855",157,158,51010.11232
"869",24,28,51395.71617
"872",27,30,51473.79348
"888",31,159,51726.39625
"896",152,155,52056.93034
"899",21,24,52111.21257
"901",157,403,52147.78465
"907",191,203,52241.01736
"912",160,162,52344.19926
"921",151,153,52446.19169
"924",162,164,52554.41552
"940",175,177,52900.80892
"953",22,27,53345.70076
"972",190,203,53727.05765
"976",32,395,53803.86961
"979",154,160,53846.70001
"981",196,212,53860.82587
"982",61,208,53912.21762
"1000",29,42,54116.66845
"1005",195,204,54311.85639
"1014",191,211,54515.84765
"1019",153,154,54695.34526
"1022",31,165,54731.2287
"1025",25,28,54762.5263
"1026",23,149,54780.69688
"1033",149,153,54891.24111
"1039",167,172,55095.04798
"1054",179,190,55422.77899
"1066",159,160,55688.67136
"1070",50,178,55697.89798
"1074",26,27,55802.58284
"1078",53,156,55844.61669
"1085",191,403,55915.68559
"1087",194,204,55964.10174
"1089",41,161,56053.07273
"1094",26,151,56141.68224
"1098",43,172,56161.70136
"1102",177,178,56315.00372
"1113",167,173,56560.92665
"1117",26,42,56640.57649
"1129",21,25,56904.06864
"1130",25,26,56906.77158
"1137",194,211,57043.05487
"1138",194,212,57047.21425
"1139",156,161,57064.10473
"1147",164,167,57246.89837
"1151",159,164,57334.04577
"1154",27,41,57385.74916
"1155",55,208,57397.99915
"1163",163,164,57541.51092
"1164",54,55,57550.51221
"1194",55,196,58311.34795
"1212",31,32,58812.28273
"1229",175,212,59082.0756
"1259",150,151,59956.75184
"1261",42,149,59966.36856
"1267",31,398,60062.11471
"1271",171,172,60173.50167
"1281",169,171,60380.60202
"1286",151,161,60554.42478
"1289",159,161,60578.12455
"1290",51,211,60581.95391
"1294",55,212,60672.82948
"1299",190,191,60725.87549
"1306",158,159,60890.18113
"1312",154,161,60999.81045
"1324",150,153,61364.37393
"1337",167,170,61573.0754
"1346",24,151,61720.64562
"1351",24,41,61896.02152
"1357",164,174,61958.22407
"1361",24,148,62019.77667
"1375",156,162,62441.40395
"1379",167,169,62520.84655
"1381",24,150,62573.08914
"1387",193,194,62712.85835
"1407",196,204,63308.88175
"1417",42,398,63624.55383
"1432",25,30,63989.53147
"1438",52,157,64049.57137
"1449",24,29,64210.02741
"1450",165,168,64266.86331
"1451",165,167,64289.41872
"1453",193,211,64311.65994
"1456",21,150,64443.0404
"1458",159,163,64498.30125
"1479",168,173,64921.59767
"1492",53,163,65161.40974
"1500",50,157,65453.49023
